0,0	0,171	0,2056
0,1	0,177	0,2028
0,2	0,210	0,1977
0,3	0,225	0,1913
0,4	0,241	0,1888
0,5	0,241	0,1894
0,6	0,250	0,1867
0,7	0,262	0,1827
0,8	0,268	0,1818
0,9	0,271	0,1806
1,0	0,280	0,1800
1,1	0,286	0,1773
1,2	0,289	0,1767
1,3	0,301	0,1755
1,4	0,295	0,1752
1,5	0,304	0,1730
1,6	0,301	0,1724
1,7	0,320	0,1709
1,8	0,326	0,1694
1,9	0,320	0,1672
2,0	0,329	0,1669
2,1	0,341	0,1654
2,2	0,344	0,1633
2,3	0,347	0,1636
2,4	0,353	0,1615
2,5	0,356	0,1612
2,6	0,362	0,1599
2,7	0,365	0,1584
2,8	0,371	0,1584
2,9	0,377	0,1569
3,0	0,381	0,1554
3,1	0,390	0,1535
3,2	0,393	0,1532
3,3	0,396	0,1517
3,4	0,405	0,1499
3,5	0,402	0,1499
3,6	0,414	0,1484
3,7	0,414	0,1493
3,8	0,408	0,1481
3,9	0,420	0,1472
4,0	0,426	0,1459
4,1	0,429	0,1462
4,2	0,435	0,1453
4,3	0,432	0,1450
4,4	0,444	0,1429
4,5	0,441	0,1438
4,6	0,438	0,1435
4,7	0,447	0,1429
4,8	0,441	0,1423
4,9	0,447	0,1417
5,0	0,456	0,1411
5,1	0,451	0,1405
5,2	0,459	0,1390
5,3	0,466	0,1374
5,4	0,466	0,1390
5,5	0,469	0,1374
5,6	0,466	0,1362
5,7	0,484	0,1350
5,8	0,484	0,1353
5,9	0,484	0,1335
6,0	0,472	0,1332
6,1	0,493	0,1326
6,2	0,487	0,1329
6,3	0,499	0,1316
6,4	0,496	0,1313
6,5	0,499	0,1313
6,6	0,505	0,1304
6,7	0,505	0,1289
6,8	0,514	0,1301
6,9	0,505	0,1292
7,0	0,520	0,1277
7,1	0,526	0,1265
7,2	0,526	0,1271
7,3	0,526	0,1259
7,4	0,539	0,1253
7,5	0,539	0,1253
7,6	0,542	0,1231
7,7	0,548	0,1231
7,8	0,548	0,1228
7,9	0,551	0,1222
8,0	0,557	0,1213
8,1	0,560	0,1204
8,2	0,563	0,1195
8,3	0,566	0,1204
8,4	0,569	0,1186
8,5	0,569	0,1186
8,6	0,566	0,1176
8,7	0,584	0,1167
8,8	0,581	0,1149
8,9	0,572	0,1161
9,0	0,587	0,1152
9,1	0,584	0,1149
9,2	0,590	0,1146
9,3	0,590	0,1149
9,4	0,593	0,1140
9,5	0,596	0,1143
9,6	0,596	0,1134
9,7	0,599	0,1122
9,8	0,606	0,1110
9,9	0,612	0,1110
10,0	0,593	0,1106
10,1	0,615	0,1088
10,2	0,615	0,1091
10,3	0,624	0,1091
10,4	0,627	0,1085
10,5	0,624	0,1079
10,6	0,636	0,1073
10,7	0,639	0,1064
10,8	0,642	0,1061
10,9	0,645	0,1058
11,0	0,645	0,1033
11,1	0,648	0,1036
11,2	0,645	0,1046
11,3	0,654	0,1036
11,4	0,657	0,1033
11,5	0,657	0,1027
11,6	0,660	0,1021
11,7	0,663	0,1018
11,8	0,657	0,1012
11,9	0,673	0,1009
12,0	0,673	0,1000
12,1	0,673	0,0988
12,2	0,679	0,0994
12,3	0,682	0,0985
12,4	0,682	0,0979
12,5	0,691	0,0982
12,6	0,685	0,0982
12,7	0,694	0,0979
12,8	0,697	0,0966
12,9	0,697	0,0954
13,0	0,703	0,0957
13,1	0,703	0,0948
13,2	0,709	0,0951
13,3	0,709	0,0951
13,4	0,697	0,0945
13,5	0,706	0,0948
13,6	0,712	0,0945
13,7	0,709	0,0942
13,8	0,700	0,0942
13,9	0,709	0,0945
14,0	0,715	0,0939
14,1	0,709	0,0933
14,2	0,718	0,0933
14,3	0,721	0,0927
14,4	0,715	0,0918
14,5	0,730	0,0918
14,6	0,730	0,0909
14,7	0,730	0,0912
14,8	0,730	0,0900
14,9	0,733	0,0909
15,0	0,733	0,0903
15,1	0,739	0,0894
15,2	0,742	0,0891
15,3	0,745	0,0887
15,4	0,745	0,0884
15,5	0,748	0,0875
15,6	0,751	0,0884
15,7	0,751	0,0878
15,8	0,751	0,0881
15,9	0,755	0,0875
16,0	0,755	0,0872
16,1	0,755	0,0866
16,2	0,761	0,0863
16,3	0,764	0,0860
16,4	0,761	0,0848
16,5	0,770	0,0860
16,6	0,767	0,0854
16,7	0,770	0,0848
16,8	0,776	0,0851
16,9	0,776	0,0836
17,0	0,776	0,0824
17,1	0,782	0,0836
17,2	0,773	0,0830
17,3	0,788	0,0827
17,4	0,782	0,0821
17,5	0,794	0,0808
17,6	0,794	0,0808
17,7	0,797	0,0802
17,8	0,794	0,0793
17,9	0,800	0,0799
18,0	0,803	0,0793
